,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
05:00 - 00:15,Cekis,"001.472","001.244","001.204","001.283","001.697","001.089","001.072","000.890","001.011","000.900","000.630","000.637","000.691","000.842","000.981","001.269","001.204","000.969","000.887","000.765","000.853","000.989","000.883","000.812","000.993","000.745","000.630","000.595","000.580","000.639","000.454",
05:00 - 00:30,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
05:00 - 00:30,Cekis,"001.467","001.240","001.204","001.283","001.656","001.083","001.072","000.893","001.011","000.896","000.631","000.637","000.691","000.844","000.982","001.266","001.202","000.968","000.888","000.766","000.849","000.989","000.882","000.813","000.993","000.744","000.628","000.594","000.575","000.632","000.456",
05:00 - 00:45,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
05:00 - 00:45,Cekis,"001.467","001.239","001.202","001.283","001.690","001.084","001.073","000.892","001.012","000.897","000.630","000.637","000.690","000.844","000.980","001.267","001.201","000.969","000.886","000.766","000.850","000.988","000.883","000.811","000.919","000.748","000.545","000.593","000.576","000.605","000.455",
06:00 - 00:00,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
06:00 - 00:00,Cekis,"001.465","001.221","001.202","001.283","001.690","001.084","001.071","000.892","001.013","000.909","000.631","000.636","000.691","000.843","000.979","001.266","001.202","000.968","000.887","000.766","000.849","000.988","000.883","000.810","000.965","000.764","000.545","000.594","000.576","000.607","000.455",
06:00 - 00:15,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
06:00 - 00:15,Cekis,"001.434","001.208","001.142","001.283","001.690","001.084","001.069","000.891","001.004","000.975","000.625","000.628","000.690","000.844","000.902","001.268","001.124","000.968","000.863","000.751","000.846","000.958","000.883","000.723","000.981","000.746","000.547","000.491","000.600","000.598","000.456",
06:00 - 00:30,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
06:00 - 00:30,Cekis,"001.424","001.207","001.133","001.283","001.690","001.084","001.042","000.890","000.980","000.952","000.629","000.623","000.690","000.843","000.879","001.267","001.109","000.967","000.845","000.745","000.829","000.956","000.883","000.736","000.981","000.746","000.546","000.477","000.601","000.595","000.456",
06:00 - 00:45,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
06:00 - 00:45,Cekis,"001.423","001.207","001.134","001.283","001.688","001.084","001.020","000.859","000.979","000.939","000.628","000.610","000.690","000.843","000.929","001.268","001.104","000.967","000.845","000.745","000.815","000.955","000.880","000.737","000.980","000.746","000.546","000.479","000.601","000.606","000.455",
07:00 - 00:00,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
07:00 - 00:00,Cekis,"001.423","001.208","001.134","001.283","001.683","001.084","001.020","000.797","000.979","000.934","000.629","000.609","000.688","000.842","000.956","001.268","001.101","000.966","000.846","000.745","000.818","000.956","000.880","000.738","000.966","000.746","000.545","000.480","000.602","000.605","000.456",
07:00 - 00:15,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
07:00 - 00:15,Cekis,"001.410","001.207","001.134","001.283","001.626","001.080","001.017","000.795","000.979","000.894","000.618","000.610","000.655","000.789","000.958","001.267","000.554","000.881","000.846","000.746","000.831","000.930","000.859","000.739","000.935","000.745","000.546","000.491","000.598","000.591","000.455",
07:00 - 00:30,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
07:00 - 00:30,Cekis,"001.408","001.207","001.134","001.282","001.610","001.031","001.017","000.795","000.979","000.894","000.618","000.609","000.639","000.788","000.958","001.268","001.016","000.883","000.845","000.746","000.830","000.928","000.859","000.760","000.933","000.745","000.554","000.546","000.575","000.589","000.456",
07:00 - 00:45,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
07:00 - 00:45,Cekis,"001.394","001.207","001.133","001.283","001.610","001.033","000.982","000.796","000.978","000.911","000.618","000.610","000.640","000.788","000.959","001.267","001.127","000.908","000.825","000.745","000.830","000.929","000.858","000.756","000.881","000.744","000.622","000.555","000.575","000.589","000.455",
08:00 - 00:00,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
08:00 - 00:00,Cekis,"001.389","001.205","001.115","001.282","001.609","000.991","000.985","000.796","000.979","000.924","000.619","000.610","000.641","000.815","000.960","001.267","001.099","000.913","000.803","000.746","000.830","000.927","000.858","000.753","000.886","000.743","000.596","000.539","000.575","000.588","000.456",
08:00 - 00:15,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
08:00 - 00:15,Cekis,"001.379","001.181","001.107","001.283","001.598","000.995","000.986","000.794","000.977","000.887","000.619","000.610","000.640","000.836","000.924","001.268","001.077","000.913","000.803","000.745","000.829","000.910","000.858","000.752","000.921","000.721","000.576","000.565","000.575","000.589","000.455",
08:00 - 00:30,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
08:00 - 00:30,Cekis,"001.368","001.176","001.107","001.282","001.590","000.994","000.988","000.791","000.917","000.868","000.619","000.609","000.640","000.819","000.920","001.264","001.043","000.913","000.803","000.745","000.803","000.912","000.857","000.743","000.912","000.715","000.570","000.564","000.574","000.589","000.456",
08:00 - 00:45,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
08:00 - 00:45,Cekis,"001.361","001.164","001.105","001.283","001.591","001.012","000.989","000.816","000.913","000.868","000.619","000.609","000.641","000.800","000.931","001.243","001.056","000.901","000.804","000.745","000.795","000.912","000.831","000.740","000.913","000.693","000.567","000.552","000.575","000.583","000.455",
09:00 - 00:00,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
09:00 - 00:00,Cekis,"001.362","000.866","001.080","001.315","001.600","001.018","000.989","000.824","000.915","000.869","000.619","000.608","000.641","000.801","000.937","001.271","001.028","000.879","000.801","000.744","000.795","000.913","000.812","000.740","000.914","000.690","000.567","000.544","000.574","000.575","000.455",
09:00 - 00:15,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
09:00 - 00:15,Cekis,"001.359","001.077","001.037","001.290","001.583","000.986","000.990","000.825","000.916","000.867","000.576","000.609","000.642","000.800","000.938","001.283","001.012","000.878","000.803","000.727","000.795","000.947","000.813","000.724","000.874","000.690","000.566","000.544","000.575","000.574","000.454",
09:00 - 00:30,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
09:00 - 00:30,Cekis,"001.341","001.167","001.051","001.314","001.560","000.982","000.991","000.824","000.952","000.879","000.588","000.608","000.642","000.814","000.949","001.288","001.026","000.879","000.812","000.714","000.795","000.950","000.813","000.710","000.869","000.690","000.567","000.544","000.574","000.575","000.451",
09:00 - 00:45,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
09:00 - 00:45,Cekis,"001.341","001.137","001.073","001.332","001.559","000.984","000.983","000.824","000.989","000.878","000.603","000.609","000.642","000.831","000.966","001.311","001.025","000.882","000.812","000.702","000.813","000.949","000.814","000.701","000.870","000.690","000.567","000.544","000.574","000.571","000.451",
10:00 - 00:00,Veris," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000"," 000.000",
